Size:;323;
Target Language:;English;
Index;English(Source);English(Target)
5,10,2,2,2,7;Barcode Recall Recipe Prefix;Barcode Recall Recipe Prefix;
5,10,2,2,2,8;Barcode Prefix;Barcode Prefix;
5,10,2,2,2,9;VERIFY;VERIFY;
5,10,2,3,1;IP Configuration;IP Configuration;
5,10,2,3,2,1;IP Address;IP Address;
5,10,2,3,2,2;IP Address;IP Address;
5,10,2,3,2,3;Subnet Mask;Subnet Mask;
5,10,2,3,2,4;Subnet Mask;Subnet Mask;
5,10,2,3,2,5;Default Gateway;Default Gateway;
5,10,2,3,2,6;Default Gateway;Default Gateway;
5,10,2,3,2,7;VERIFY;VERIFY;
5,10,2,3,2,8;CANCEL;CANCEL;
5,10,2,3,2,9;SAVE;SAVE;
5,10,2,4,1,1;Power Supply I/O;Power Supply I/O;
5,10,2,4,1,2,1;Power Supply I/O;Power Supply I/O;
5,10,2,4,1,2,10;SAVE;SAVE;
5,10,2,4,1,2,2;Digital Inputs;Digital Inputs;
5,10,2,4,1,2,3;Digital Outputs;Digital Outputs;
5,10,2,4,1,2,4;Cycle Abort;Cycle Abort;
5,10,2,4,1,2,5;Not Used;Not Used;
5,10,2,4,1,2,6;Confirm Reject;Confirm Reject;
5,10,2,4,1,2,7;U/S Disabled;U/S Disabled;
5,10,2,4,1,2,8;Reset;Reset;
5,10,2,4,1,2,9;CANCEL;CANCEL;
5,10,2,4,2;User I/O;User I/O;
5,10,2,5,1,1;Change Password;Change Password;
5,10,2,5,1,2,1;Current Password;Current Password;
5,10,2,5,1,2,2;Current Password;Current Password;
5,10,2,5,1,2,3;New Password;New Password;
5,10,2,5,1,2,4;New Password;New Password;
5,10,2,5,1,2,5;Confirm New Password;Confirm New Password;
5,10,2,5,1,2,6;Confirm New Password;Confirm New Password;
5,10,2,5,1,2,7;CANCEL;CANCEL;
5,10,2,5,1,2,8;SAVE;SAVE;
5,10,2,5,2,1;Global User Settings;Global User Settings;
5,10,2,5,2,2,1;Password Expiration;Password Expiration;
5,10,2,5,2,2,2;Password Expiration;Password Expiration;
5,10,2,5,2,2,3;Day(s);Day(s);
5,10,2,5,2,2,4;Idle Time Logout;Idle Time Logout;
5,10,2,5,2,2,5;Idle Time Logout;Idle Time Logout;
5,10,2,5,2,2,6;Min(s);Min(s);
5,10,2,5,2,2,7;CANCEL;CANCEL;
5,10,2,5,2,2,8;SAVE;SAVE;
5,10,2,5,3,1;User List;User List;
5,10,2,5,3,2,1;User ID;User ID;
5,10,2,5,3,2,10;Last Login;Last Login;
5,10,2,5,3,2,11;EXECUTIVE;EXECUTIVE;
5,10,2,5,3,2,12;OPERATOR;OPERATOR;
5,10,2,5,3,2,13;ENABLED;ENABLED;
5,10,2,5,3,2,14;DISABLED;DISABLED;
5,10,2,5,3,2,15;ADD USER;ADD USER;
5,10,2,5,3,2,16;MODIFY USER;MODIFY USER;
5,10,2,5,3,2,17;CANCEL;CANCEL;
5,10,2,5,3,2,18;SAVE;SAVE;
5,10,2,5,3,2,2;User Level;User Level;
5,10,2,5,3,2,3;User Status;User Status;
5,10,2,5,3,2,4;User Name;User Name;
5,10,2,5,3,2,5;Password;Password;
5,10,2,5,3,2,6;Confirm Password;Confirm Password;
5,10,2,5,3,2,7;Enter User Name;Enter User Name;
5,10,2,5,3,2,8;Enter Password;Enter Password;
5,10,2,5,3,2,9;Enter Confirm Password;Enter Confirm Password;
5,10,2,5,4;User Management;User Management;
5,10,2,6;Configuration;Configuration;
5,10,3,1;Data;Data;
5,10,3,2,1;Generate Report;Generate Report;
5,10,3,2,2;TYPE;TYPE;
5,10,3,2,3;STORAGE& OUTPUT;STORAGE& OUTPUT;
5,10,3,2,4;DATA FILTERS;DATA FILTERS;
5,10,3,2,5;SUMMARY;SUMMARY;
5,10,3,2,6;NEXT;NEXT;
5,10,4,1,1,1,1;UI Controller;UI Controller;
5,10,4,1,2,1,1;Actuator Controller;Actuator Controller;
5,10,4,1,2,1,2;Power Controller;Power Controller;
5,10,4,1,2,1,3;Supervisory Controller;Supervisory Controller;
5,10,4,1,3;SOFTWARE UPGRADE;SOFTWARE UPGRADE;
5,10,4,1,4,1;To begin, insert USB drive and click READ USB;To begin, insert USB drive and click READ USB;
5,10,4,1,4,2;Insert USB to Welder;Insert USB to Welder;
5,10,4,1,4,3;Insert USB to HMI;Insert USB to HMI;
5,10,4,1,4,4;READ USB;READ USB;
5,10,4,1,4,5;READING;READING;
5,10,4,1,4,6;UPGRADE;UPGRADE;
5,10,4,2;Information;Information;
5,10,4,3,1;Machine Details;Machine Details;
5,10,4,3,10;Power Supply;Power Supply;
5,10,4,3,11;Life Time Welds;Life Time Welds;
5,10,4,3,12;Overloads;Overloads;
5,10,4,3,13;Power Supply Type;Power Supply Type;
5,10,4,3,14;Power Supply Frequency;Power Supply Frequency;
5,10,4,3,15;Power Supply Wattage;Power Supply Wattage;
5,10,4,3,16;Actuator;Actuator;
5,10,4,3,17;LifeTime Cycles;LifeTime Cycles;
5,10,4,3,18;Type;Type;
5,10,4,3,19;Calibration Date;Calibration Date;
5,10,4,3,2;Model;Model;
5,10,4,3,20;Overloads;Overloads;
5,10,4,3,21;Stroke Length;Stroke Length;
5,10,4,3,22;Connectivity;Connectivity;
5,10,4,3,23;MAC (Medium Access Control) ID;MAC (Medium Access Control) ID;
5,10,4,3,24;Serial Number;Serial Number;
5,10,4,3,25;Serial Number;Serial Number;
5,10,4,3,3;Number of Alarms;Number of Alarms;
5,10,4,3,4;Software Versions;Software Versions;
5,10,4,3,5;UI Controller;UI Controller;
5,10,4,3,6;Supervisory Controller;Supervisory Controller;
5,10,4,3,7;Actuator Controller;Actuator Controller;
5,10,4,3,8;Power Controller;Power Controller;
5,10,4,3,9;SOFTWARE UPGRADE;SOFTWARE UPGRADE;
5,10,5;System;System;
5,10,6,1;Configuration;Configuration;
5,10,6,2;Data;Data;
5,10,6,3;Information;Information;
5,10,6,4;Calibration;Calibration;
5,2,1,1,1,1,1;Phase;Phase;
5,2,1,1,1,1,10;Col Distance;Col Distance;
5,2,1,1,1,1,11;Time;Time;
5,2,1,1,1,1,2;Energy;Energy;
5,2,1,1,1,1,3;Frequency;Frequency;
5,2,1,1,1,1,4;Amplitude;Amplitude;
5,2,1,1,1,1,5;Current;Current;
5,2,1,1,1,1,6;Power;Power;
5,2,1,1,1,1,7;Force;Force;
5,2,1,1,1,1,8;Velocity;Velocity;
5,2,1,1,1,1,9;Abs Distance;Abs Distance;
5,2,1,1,2,1,1;Left;Left;
5,2,1,1,2,1,2;Right;Right;
5,2,1,1,2,1,3;Axis;Axis;
5,2,1,1,3,1,1;Left Axis;Left Axis;
5,2,1,1,3,1,2;Right Axis;Right Axis;
5,2,1,1,3,1,3;Auto Graph Refresh;Auto Graph Refresh;
5,2,1,1,3,1,4;Auto-Scale Time Axis;Auto-Scale Time Axis;
5,2,1,1,3,1,5;Set Time Scale;Set Time Scale;
5,2,1,1,4,1;Cycle Number;Cycle Number;
5,2,1,2,1,1;CHOOSE PARAMETER;CHOOSE PARAMETER;
5,2,1,2,1,2,1;Recipe;Recipe;
5,2,1,2,1,2,10;Tool Absolute(mm);Tool Absolute(mm);
5,2,1,2,1,2,11;Weld Collapse Dist;Weld Collapse Dist;
5,2,1,2,1,2,12;Hold Collapse Dist;Hold Collapse Dist;
5,2,1,2,1,2,13;Total Collapse Dist;Total Collapse Dist;
5,2,1,2,1,2,14;Trigger Distance(mm);Trigger Distance(mm);
5,2,1,2,1,2,15;Velocity(mm/s);Velocity(mm/s);
5,2,1,2,1,2,2;Recipe Version;Recipe Version;
5,2,1,2,1,2,3;Date Time;Date Time;
5,2,1,2,1,2,4;Stack Serial;Stack Serial;
5,2,1,2,1,2,5;Cycle Counter;Cycle Counter;
5,2,1,2,1,2,6;Weld Mode;Weld Mode;
5,2,1,2,1,2,7;Max Weld Force(N);Max Weld Force(N);
5,2,1,2,1,2,8;Find Hold Force(N);Find Hold Force(N);
5,2,1,2,1,2,9;Weld Absolute(mm);Weld Absolute(mm);
5,2,1,2,2,1;Choose;Choose;
5,2,2;Analytics;Analytics;
5,2,3,1;Results;Results;
5,2,3,2;Alarms;Alarms;
5,2,3,3;EDIT RECIPE;EDIT RECIPE;
5,2,3,4;GENERATE REPORT;GENERATE REPORT;
5,5,1;Login;Login;
5,5,2,1;Enter Passcode;Enter Passcode;
5,5,2,2;Login;Login;
5,5,2,3;Too many failed login attempts. System will be locked for 15 minutes.;Too many failed login attempts. System will be locked for 15 minutes.;
5,5,2,4;Invalid Passcode. Please re-enter and try again.;Invalid Passcode. Please re-enter and try again.;
5,5,2,5;Login Successful;Login Successful;
5,5,2,6;Please enter a passcode;Please enter a passcode;
5,7,1,1;CANCEL;CANCEL;
5,7,1,10;Step@Pk Power;Step@Pk Power;
5,7,1,11;Step@Absolute;Step@Absolute;
5,7,1,12;Step@Collapse;Step@Collapse;
5,7,1,13;Step@Ext. Signal;Step@Ext. Signal;
5,7,1,14;Invalid value is entered;Invalid value is entered;
5,7,1,15;Textfield can not be blank;Textfield can not be blank;
5,7,1,2;DONE;DONE;
5,7,1,3;Min;Min;
5,7,1,4;Max;Max;
5,7,1,5;STEPPING;STEPPING;
5,7,1,6;Step;Step;
5,7,1,7;Step Value;Step Value;
5,7,1,8;Step@Time;Step@Time;
5,7,1,9;Step@Energy;Step@Energy;
5,8,1;Production;Production;
5,8,2,1;Active Recipe;Active Recipe;
5,8,2,2;Total Cycle Time;Total Cycle Time;
5,8,2,3;Cycle Count;Cycle Count;
5,8,2,4;Peak Power;Peak Power;
5,9,1,1,1;Time;Time;
5,9,1,1,2;Energy;Energy;
5,9,1,1,3;Peak Power;Peak Power;
5,9,1,1,4;Scrub Time;Scrub Time;
5,9,1,1,5;Absolute Distance;Absolute Distance;
5,9,1,1,6;Collapse Distance;Collapse Distance;
5,9,2,1,1;GRAPH SETTINGS;GRAPH SETTINGS;
5,9,2,2,1,1,1;Control;Control;
5,9,2,2,1,1,2,1;CONTROL;CONTROL;
5,9,2,2,1,1,2,10;TIME CUTOFF;TIME CUTOFF;
5,9,2,2,1,1,2,2;Turn settings on;Turn settings on;
5,9,2,2,1,1,2,3;FREQUENCY LOW CUTOFF;FREQUENCY LOW CUTOFF;
5,9,2,2,1,1,2,4;PEAK POWER CUTOFF;PEAK POWER CUTOFF;
5,9,2,2,1,1,2,5;FREQUENCY HIGH;FREQUENCY HIGH;
5,9,2,2,1,1,2,6;ABSOLUTE DISTANCE CUTOFF;ABSOLUTE DISTANCE CUTOFF;
5,9,2,2,1,1,2,7;ENERGY CUTOFF;ENERGY CUTOFF;
5,9,2,2,1,1,2,8;COLLAPSE DISTANCE CUTOFF;COLLAPSE DISTANCE CUTOFF;
5,9,2,2,1,1,2,9;GROUND DETECT CUTOFF;GROUND DETECT CUTOFF;
5,9,2,2,1,2,1;Setup;Setup;
5,9,2,2,1,3,1;Suspect & Reject;Suspect & Reject;
5,9,2,2,1,4;Limits;Limits;
5,9,2,2,2,1;Parameters A-Z;Parameters A-Z;
5,9,2,2,2,2,1;AFTERBURST TIME;AFTERBURST TIME;
5,9,2,2,2,2,10;PRETRIGGER AMPLITUDE;PRETRIGGER AMPLITUDE;
5,9,2,2,2,2,11;PRETRIGGER DISTANCE;PRETRIGGER DISTANCE;
5,9,2,2,2,2,2;DISTANCE;DISTANCE;
5,9,2,2,2,2,3;AUTO;AUTO;
5,9,2,2,2,2,4;EXTRA COOLING;EXTRA COOLING;
5,9,2,2,2,2,5;HOLD RAMP FORCE TIME;HOLD RAMP FORCE TIME;
5,9,2,2,2,2,6;MAX TIMEOUT;MAX TIMEOUT;
5,9,2,2,2,2,7;POST-WELD SEEK;POST-WELD SEEK;
5,9,2,2,2,2,8;PRE-WELD SEEK;PRE-WELD SEEK;
5,9,2,2,2,2,9;PRETRIGGER;PRETRIGGER;
5,9,2,2,3,1;Weld Mode;Weld Mode;
5,9,2,2,3,2,1;TIME;TIME;
5,9,2,2,3,2,2;ENERGY;ENERGY;
5,9,2,2,3,2,3;PEAK POWER;PEAK POWER;
5,9,2,2,3,2,4;GROUND DETECT;GROUND DETECT;
5,9,2,2,3,2,5;ABSOLUTE DISTANCE;ABSOLUTE DISTANCE;
5,9,2,2,3,2,6;COLLAPSE DISTANCE;COLLAPSE DISTANCE;
5,9,2,2,4,1,1;AFTERBURST;AFTERBURST;
5,9,2,2,4,1,2,1;AFTERBURST TIME;AFTERBURST TIME;
5,9,2,2,4,1,2,2;AFTERBURST DELAY;AFTERBURST DELAY;
5,9,2,2,4,1,2,3;AFTERBURST AMPLITUDE;AFTERBURST AMPLITUDE;
5,9,2,2,4,1,2,4;Turn all off;Turn all off;
5,9,2,2,4,2,1;PRETRIGGER;PRETRIGGER;
5,9,2,2,4,2,2,1;DISTANCE;DISTANCE;
5,9,2,2,4,2,2,2;AUTO;AUTO;
5,9,2,2,4,2,2,3;PRETRIGGER AMPLITUDE;PRETRIGGER AMPLITUDE;
5,9,2,2,4,2,2,4;Turn all off;Turn all off;
5,9,2,2,4,3;Weld Process;Weld Process;
5,9,2,2,5,1;Stack Recipe;Stack Recipe;
5,9,2,2,6;RECIPE SETTINGS;RECIPE SETTINGS;
5,9,2,2,7,1;Actions;Actions;
5,9,2,2,7,10;ABSOLUTE DISTANCE;ABSOLUTE DISTANCE;
5,9,2,2,7,11;COLLAPSE DISTANCE;COLLAPSE DISTANCE;
5,9,2,2,7,12;SCRUB TIME;SCRUB TIME;
5,9,2,2,7,13;WELD AMPLITUDE;WELD AMPLITUDE;
5,9,2,2,7,14;HOLD TIME;HOLD TIME;
5,9,2,2,7,2;New;New;
5,9,2,2,7,3;Save;Save;
5,9,2,2,7,4;Copy;Copy;
5,9,2,2,7,5;Delete;Delete;
5,9,2,2,7,6;QUICK EDIT;QUICK EDIT;
5,9,2,2,7,7;TIME;TIME;
5,9,2,2,7,8;ENERGY;ENERGY;
5,9,2,2,7,9;PEAK POWER;PEAK POWER;
5,9,2,3,1;RESULT VIEW;RESULT VIEW;
5,9,2,4;Lab;Lab;
5,9,3;Recipes;Recipes;
5,9,4,1;Recipes;Recipes;
5,9,4,10;SET AS ACTIVE;SET AS ACTIVE;
5,9,4,11;Cycle Count;Cycle Count;
5,9,4,12;Sequence Count;Sequence Count;
5,9,4,2;Sequences;Sequences;
5,9,4,3;New Recipe;New Recipe;
5,9,4,4;New Sequence;New Sequence;
5,9,4,5;Actions;Actions;
5,9,4,6;PRODUCTION RUN;PRODUCTION RUN;
5,9,4,7;EDIT RECIPE;EDIT RECIPE;
5,9,4,8;EDIT SEQUENCE;EDIT SEQUENCE;
5,9,4,9;RESET CYCLE COUNT;RESET CYCLE COUNT;
6,1,1;Warning !;Warning !;
6,1,2;OK;OK;
7,1,1,1;Select Language;Select Language;
7,1,1,2;CANCEL;CANCEL;
7,1,1,3;SAVE;SAVE;
7,2,1;Action Center;Action Center;
7,2,2;Actuator Setup;Actuator Setup;
7,2,3;Diagnostics;Diagnostics;
7,2,4;Import/ Export;Import/ Export;
7,2,5;Logout;Logout;
7,2,6;Exit;Exit;
7,2,7;Machine;Machine;
